"emerge","treatment","mean.dose","replicate","whole.mean","alive","qro","colony","count","brood_cells","honey_pot","eggs","dead_larvae","live_larvae","dead_pupae","live_pupae","dead_drones","live_drones","drones","duration"
38,"1",0,"11",0.282950909090909,5,"B1","1.11R2",4,18,1,14,1,0,4,3,0,0,4,45
NA,"1",0,"12",0.169796363636364,0,"B1","1.12R2",0,3,3,0,0,0,0,0,0,0,0,43
33,"1",0,"1",0.521345789473684,5,"B1","1.1R2",7,54,4,5,1,49,2,6,0,0,6,40
51,"1",0,"2",0.33742,4,"B5","1.2R2",13,29,10,0,6,21,0,0,0,0,12,58
38,"1",0,"3",0.451289090909091,5,"B3","1.3R2",13,32,2,13,0,17,3,7,0,0,11,45
33,"1",0,"4",0.606301578947368,1,"B5","1.4R2",16,56,4,11,2,77,2,11,0,4,16,40
32,"1",0,"5",0.707951578947368,4,"B4","1.5R2",22,50,8,87,1,46,0,4,0,0,22,39
32,"1",0,"7",0.740038052631579,5,"B1","1.7R2",12,60,6,3,4,30,6,12,0,0,12,39
NA,"1",0,"9",0.224008076923077,2,"B1","1.9R2",0,2,0,0,1,0,1,0,0,0,0,56
35,"2",35.9995816028,"11",0.417827,5,"B1","2.11R2",9,26,8,3,0,7,6,0,0,0,9,42
36,"2",35.6245293491905,"12",0.40355680952381,5,"B1","2.12R2",5,29,8,0,9,7,3,0,4,1,5,43
35,"2",55.1336832774211,"1",0.610158947368421,5,"B1","2.1R2",20,47,14,0,0,18,5,9,0,0,11,42
40,"2",47.6517420684783,"2",0.510923434782609,4,"B5","2.2R2",20,41,12,16,2,16,0,1,0,0,19,47
35,"2",24.2967594436842,"3",0.328003631578947,5,"B3","2.3R2",8,19,3,5,1,0,1,1,0,0,6,42
NA,"2",32.8688571127059,"4",0.388139411764706,0,"B5","2.4R2",0,29,4,36,0,20,0,11,0,0,0,35
34,"2",73.776958739,"5",0.7194915,4,"B4","2.5R2",11,44,8,14,15,29,8,12,0,0,11,41
35,"2",46.4585063945,"7",0.5299685,5,"B1","2.7R2",5,47,5,0,2,4,39,7,0,0,5,42
37,"2",52.4961752090476,"9",0.58571519047619,5,"B1","2.9R2",10,50,9,8,0,23,9,9,0,4,10,44
38,"3",357.657792488095,"11",0.421640952380952,5,"B1","3.11R2",1,35,6,0,2,15,8,8,0,0,1,45
48,"3",281.218025604444,"12",0.339099259259259,5,"B1","3.12R2",1,29,9,0,12,0,9,0,0,0,1,55
41,"3",307.886057877826,"1",0.371194782608696,5,"B1","3.1R2",8,18,3,10,2,3,2,2,0,0,3,48
37,"3",310.282866195,"2",0.346101,5,"B5","3.2R2",9,26,6,0,0,32,1,2,0,0,7,44
31,"3",919.098230283333,"3",0.846580555555556,5,"B3","3.3R2",16,64,9,15,14,49,24,1,0,0,10,38
36,"3",406.208749928095,"4",0.412043333333333,3,"B5","3.4R2",7,35,2,6,0,34,8,0,0,0,7,43
33,"3",969.896903836842,"5",0.890621052631579,4,"B4","3.5R2",15,96,9,16,15,71,12,18,1,2,15,40
40,"3",720.478110604545,"7",0.626667954545455,5,"B1","3.7R2",19,74,4,1,6,49,14,2,0,0,19,47
34,"3",417.988485603158,"9",0.440951052631579,5,"B1","3.9R2",2,33,2,2,1,28,2,4,0,0,2,41
33,"4",3697.92253194444,"11",0.345601111111111,5,"B1","4.11R2",4,33,3,2,1,22,3,5,0,0,4,40
39,"4",2085.61693573684,"12",0.249629473684211,3,"B1","4.12R2",2,15,8,0,3,3,0,0,0,0,2,46
35,"4",8936.6582306,"1",0.7074755,5,"B1","4.1R2",20,63,6,14,2,36,7,7,1,1,19,42
34,"4",4380.6048375,"2",0.38717425,3,"B5","4.2R2",13,29,6,2,4,4,0,4,0,0,12,41
33,"4",6846.91059836842,"3",0.580007368421053,5,"B3","4.3R2",18,41,13,15,3,15,1,2,0,0,17,40
33,"4",10230.8023761053,"4",0.835624736842105,5,"B5","4.4R2",27,53,10,13,46,32,6,0,0,0,27,40
NA,"4",1757.69297464815,"5",0.233596666666667,0,"B4","4.5R2",0,6,1,3,1,0,2,0,0,0,0,28
30,"4",7030.06345177778,"7",0.62374,5,"B1","4.7R2",9,51,7,7,0,35,7,7,0,0,9,37
33,"4",5682.26010833333,"9",0.532295,4,"B1","4.9R2",17,39,9,3,0,11,0,2,0,0,17,40
34,"5",43070.0997235,"11",0.411396,5,"B1","5.11R2",7,27,11,0,0,33,2,0,0,0,7,41
51,"5",15383.8151482222,"12",0.207774074074074,5,"B1","5.12R2",1,8,1,0,4,0,2,0,1,1,1,58
37,"5",37367.4831550476,"1",0.378228571428571,5,"B1","5.1R2",17,28,7,0,0,13,1,6,0,0,10,44
38,"5",52985.8561218182,"2",0.491246818181818,4,"B5","5.2R2",16,44,1,11,4,19,8,8,1,1,11,45
NA,"5",16364.600713,"3",0.212877777777778,0,"B3","5.3R2",0,0,0,0,0,0,0,0,0,0,0,20
34,"5",48624.0168351,"4",0.4563045,5,"B5","5.4R2",10,42,8,9,1,33,2,5,0,0,10,41
34,"5",82144.9315678947,"5",0.709547894736842,5,"B4","5.5R2",15,56,10,6,4,31,13,2,0,0,15,41
30,"5",67415.7410302778,"7",0.611318888888889,5,"B1","5.7R2",19,34,8,7,1,6,6,4,0,0,19,37
39,"5",42601.2723014762,"9",0.418829047619048,5,"B1","5.9R2",13,27,10,6,0,13,1,1,0,0,13,46
