colony,qro
1.11R2,B1
1.12R2,B1
1.1R1,K1
1.1R2,B1
1.2R1,K1
1.2R2,B5
1.3R1,K1
1.3R2,B3
1.4R2,B5
1.5R2,B4
1.7R2,B1
1.9R2,B1
2.11R2,B1
2.12R2,B1
2.1R1,K1
2.1R2,B1
2.2R1,K1
2.2R2,B5
2.3R1,K2/K1
2.3R2,B3
2.4R2,B5
2.5R2,B4
2.7R2,B1
2.9R2,B1
3.11R2,B1
3.12R2,B1
3.1R1,K1
3.1R2,B1
3.2R1,K1
3.2R2,B5
3.3R1,K3/K2
3.3R2,B3
3.4R2,B5
3.5R2,B4
3.7R2,B1
3.9R2,B1
4.11R2,B1
4.12R2,B1
4.1R1,K1
4.1R2,B1
4.2R1,K1
4.2R2,B5
4.3R1,K3
4.3R2,B3
4.4R2,B5
4.5R2,B4
4.7R2,B1
4.9R2,B1
5.11R2,B1
5.12R2,B1
5.1R1,K1
5.1R2,B1
5.2R1,K1
5.2R2,B5
5.3R1,K2/K1
5.3R2,B3
5.4R2,B5
5.5R2,B4
5.7R2,B1
5.9R2,B1
