treatment,variable,mean,sd,n,se
1,eggs,14.77777778,27.66666667,9,9.222222222
2,eggs,9.111111111,11.72011566,9,3.90670522
3,eggs,5.555555556,6.559556218,9,2.186518739
4,eggs,6.555555556,5.897268671,9,1.965756224
5,eggs,4.333333333,4.387482194,9,1.462494065
1,honeypots,4.222222222,3.270236145,9,1.090078715
2,honeypots,7.888888889,3.586239132,9,1.195413044
3,honeypots,5.555555556,2.962731472,9,0.987577157
4,honeypots,7,3.605551275,9,1.201850425
5,honeypots,6.222222222,4.352521619,9,1.45084054
1,larvae,28.44444444,27.02827737,9,9.009425791
2,larvae,17,12.51998403,9,4.173328009
3,larvae,37,26.33438816,9,8.778129388
4,larvae,24.22222222,23.84207299,9,7.947357663
5,larvae,18,13.62901317,9,4.54300439
1,pupae,8.555555556,6.710274046,9,2.236758015
2,pupae,16.66666667,15.28070679,9,5.09356893
3,pupae,18.77777778,14.91457155,9,4.971523849
4,pupae,12.55555556,15.57330337,9,5.191101123
5,pupae,8.333333333,7.193747285,9,2.397915762
